"Protein","Missing_Rate_Percent","Missingness_Threshold_Percent","Status"
"MSX2",96.6442953020134,50,"Temporarily_Excluded_High_Missingness"
"MT.ND3",96.6442953020134,50,"Temporarily_Excluded_High_Missingness"
"MYZAP",96.6442953020134,50,"Temporarily_Excluded_High_Missingness"
"NDUFA1",96.6442953020134,50,"Temporarily_Excluded_High_Missingness"
"NT5C1A",96.6442953020134,50,"Temporarily_Excluded_High_Missingness"
"OIP5",96.6442953020134,50,"Temporarily_Excluded_High_Missingness"
"PAQR4",96.6442953020134,50,"Temporarily_Excluded_High_Missingness"
"PRR11",96.6442953020134,50,"Temporarily_Excluded_High_Missingness"
"RAB40C",96.6442953020134,50,"Temporarily_Excluded_High_Missingness"
"RAD51",96.6442953020134,50,"Temporarily_Excluded_High_Missingness"
"RBAK",96.6442953020134,50,"Temporarily_Excluded_High_Missingness"
"RIMKLB",96.6442953020134,50,"Temporarily_Excluded_High_Missingness"
"RNASE7",96.6442953020134,50,"Temporarily_Excluded_High_Missingness"
"RNF121",96.6442953020134,50,"Temporarily_Excluded_High_Missingness"
"SAMD10",96.6442953020134,50,"Temporarily_Excluded_High_Missingness"
"SAMD14",96.6442953020134,50,"Temporarily_Excluded_High_Missingness"
"SCAMP5",96.6442953020134,50,"Temporarily_Excluded_High_Missingness"
"SCTR",96.6442953020134,50,"Temporarily_Excluded_High_Missingness"
"SEMA6B",96.6442953020134,50,"Temporarily_Excluded_High_Missingness"
"SEMG1",96.6442953020134,50,"Temporarily_Excluded_High_Missingness"
"SEPTIN5",96.6442953020134,50,"Temporarily_Excluded_High_Missingness"
"SGO1",96.6442953020134,50,"Temporarily_Excluded_High_Missingness"
"SH3RF2",96.6442953020134,50,"Temporarily_Excluded_High_Missingness"
"SHISA4",96.6442953020134,50,"Temporarily_Excluded_High_Missingness"
"SLA",96.6442953020134,50,"Temporarily_Excluded_High_Missingness"
"SLC23A2",96.6442953020134,50,"Temporarily_Excluded_High_Missingness"
"SLC25A44",96.6442953020134,50,"Temporarily_Excluded_High_Missingness"
"SLC26A3",96.6442953020134,50,"Temporarily_Excluded_High_Missingness"
"SLC28A2",96.6442953020134,50,"Temporarily_Excluded_High_Missingness"
"SLC2A4",96.6442953020134,50,"Temporarily_Excluded_High_Missingness"
"SLC9B2",96.6442953020134,50,"Temporarily_Excluded_High_Missingness"
"SNRPB",96.6442953020134,50,"Temporarily_Excluded_High_Missingness"
"SPATA6",96.6442953020134,50,"Temporarily_Excluded_High_Missingness"
"SPOCK3",96.6442953020134,50,"Temporarily_Excluded_High_Missingness"
"SPRY3",96.6442953020134,50,"Temporarily_Excluded_High_Missingness"
"SRMS",96.6442953020134,50,"Temporarily_Excluded_High_Missingness"
"STARD4",96.6442953020134,50,"Temporarily_Excluded_High_Missingness"
"SUV39H1",96.6442953020134,50,"Temporarily_Excluded_High_Missingness"
"SWSAP1",96.6442953020134,50,"Temporarily_Excluded_High_Missingness"
"TBCCD1",96.6442953020134,50,"Temporarily_Excluded_High_Missingness"
"TEAD4",96.6442953020134,50,"Temporarily_Excluded_High_Missingness"
"TGDS",96.6442953020134,50,"Temporarily_Excluded_High_Missingness"
"THAP10",96.6442953020134,50,"Temporarily_Excluded_High_Missingness"
"THRA",96.6442953020134,50,"Temporarily_Excluded_High_Missingness"
"TM2D2",96.6442953020134,50,"Temporarily_Excluded_High_Missingness"
"TM4SF18",96.6442953020134,50,"Temporarily_Excluded_High_Missingness"
"TMEM104",96.6442953020134,50,"Temporarily_Excluded_High_Missingness"
"TMEM186",96.6442953020134,50,"Temporarily_Excluded_High_Missingness"
"TMEM45A",96.6442953020134,50,"Temporarily_Excluded_High_Missingness"
"TMEM88",96.6442953020134,50,"Temporarily_Excluded_High_Missingness"
"TNFRSF18",96.6442953020134,50,"Temporarily_Excluded_High_Missingness"
"TOMM40L",96.6442953020134,50,"Temporarily_Excluded_High_Missingness"
"TP53I13",96.6442953020134,50,"Temporarily_Excluded_High_Missingness"
"TUBG2",96.6442953020134,50,"Temporarily_Excluded_High_Missingness"
"UGT1A5",96.6442953020134,50,"Temporarily_Excluded_High_Missingness"
"ULK4",96.6442953020134,50,"Temporarily_Excluded_High_Missingness"
"VMO1",96.6442953020134,50,"Temporarily_Excluded_High_Missingness"
"VOPP1",96.6442953020134,50,"Temporarily_Excluded_High_Missingness"
"XRCC2",96.6442953020134,50,"Temporarily_Excluded_High_Missingness"
"XRCC3",96.6442953020134,50,"Temporarily_Excluded_High_Missingness"
"ZBED4",96.6442953020134,50,"Temporarily_Excluded_High_Missingness"
"ZBTB42",96.6442953020134,50,"Temporarily_Excluded_High_Missingness"
"ZDHHC12",96.6442953020134,50,"Temporarily_Excluded_High_Missingness"
"ZFP36",96.6442953020134,50,"Temporarily_Excluded_High_Missingness"
"ZNF133",96.6442953020134,50,"Temporarily_Excluded_High_Missingness"
"ZNF142",96.6442953020134,50,"Temporarily_Excluded_High_Missingness"
"ZNF202",96.6442953020134,50,"Temporarily_Excluded_High_Missingness"
"ZNF333",96.6442953020134,50,"Temporarily_Excluded_High_Missingness"
"ZNF420",96.6442953020134,50,"Temporarily_Excluded_High_Missingness"
"ZNF552",96.6442953020134,50,"Temporarily_Excluded_High_Missingness"
"ZNF641",96.6442953020134,50,"Temporarily_Excluded_High_Missingness"
"ZNF783",96.6442953020134,50,"Temporarily_Excluded_High_Missingness"
"ZRANB3",96.6442953020134,50,"Temporarily_Excluded_High_Missingness"
"A4GALT",95.9731543624161,50,"Temporarily_Excluded_High_Missingness"
"ABCC5",95.9731543624161,50,"Temporarily_Excluded_High_Missingness"
"AC011195.3",95.9731543624161,50,"Temporarily_Excluded_High_Missingness"
"ACHE",95.9731543624161,50,"Temporarily_Excluded_High_Missingness"
"ACTL6B",95.9731543624161,50,"Temporarily_Excluded_High_Missingness"
"ADGRB3",95.9731543624161,50,"Temporarily_Excluded_High_Missingness"
"ADGRD1",95.9731543624161,50,"Temporarily_Excluded_High_Missingness"
"ADGRG5",95.9731543624161,50,"Temporarily_Excluded_High_Missingness"
"AKIP1",95.9731543624161,50,"Temporarily_Excluded_High_Missingness"
"ASB13",95.9731543624161,50,"Temporarily_Excluded_High_Missingness"
"ASB8",95.9731543624161,50,"Temporarily_Excluded_High_Missingness"
"BMP2",95.9731543624161,50,"Temporarily_Excluded_High_Missingness"
"BPIFA1",95.9731543624161,50,"Temporarily_Excluded_High_Missingness"
"C11orf53",95.9731543624161,50,"Temporarily_Excluded_High_Missingness"
"C8orf76",95.9731543624161,50,"Temporarily_Excluded_High_Missingness"
"CAMTA2",95.9731543624161,50,"Temporarily_Excluded_High_Missingness"
"CCDC3",95.9731543624161,50,"Temporarily_Excluded_High_Missingness"
"CCR10",95.9731543624161,50,"Temporarily_Excluded_High_Missingness"
"CD37",95.9731543624161,50,"Temporarily_Excluded_High_Missingness"
"CKLF",95.9731543624161,50,"Temporarily_Excluded_High_Missingness"
"CLCN2",95.9731543624161,50,"Temporarily_Excluded_High_Missingness"
"CLEC4M",95.9731543624161,50,"Temporarily_Excluded_High_Missingness"
"CNPY1",95.9731543624161,50,"Temporarily_Excluded_High_Missingness"
"CPT1C",95.9731543624161,50,"Temporarily_Excluded_High_Missingness"
"CRYBA2",95.9731543624161,50,"Temporarily_Excluded_High_Missingness"
"CSMD2",95.9731543624161,50,"Temporarily_Excluded_High_Missingness"
"DGCR6",95.9731543624161,50,"Temporarily_Excluded_High_Missingness"
"DIRAS2",95.9731543624161,50,"Temporarily_Excluded_High_Missingness"
"DLK1",95.9731543624161,50,"Temporarily_Excluded_High_Missingness"
"DTX4",95.9731543624161,50,"Temporarily_Excluded_High_Missingness"
"ELMOD3",95.9731543624161,50,"Temporarily_Excluded_High_Missingness"
"FABP7",95.9731543624161,50,"Temporarily_Excluded_High_Missingness"
"FANCL",95.9731543624161,50,"Temporarily_Excluded_High_Missingness"
"FCER1A",95.9731543624161,50,"Temporarily_Excluded_High_Missingness"
"FCRLA",95.9731543624161,50,"Temporarily_Excluded_High_Missingness"
"FHDC1",95.9731543624161,50,"Temporarily_Excluded_High_Missingness"
"FLVCR2",95.9731543624161,50,"Temporarily_Excluded_High_Missingness"
"FOXP2",95.9731543624161,50,"Temporarily_Excluded_High_Missingness"
"FPR2",95.9731543624161,50,"Temporarily_Excluded_High_Missingness"
"GLIS3",95.9731543624161,50,"Temporarily_Excluded_High_Missingness"
"GP9",95.9731543624161,50,"Temporarily_Excluded_High_Missingness"
"GPR157",95.9731543624161,50,"Temporarily_Excluded_High_Missingness"
"IGFBPL1",95.9731543624161,50,"Temporarily_Excluded_High_Missingness"
"IGKV2D.28",95.9731543624161,50,"Temporarily_Excluded_High_Missingness"
"INSIG2",95.9731543624161,50,"Temporarily_Excluded_High_Missingness"
"IRAK1BP1",95.9731543624161,50,"Temporarily_Excluded_High_Missingness"
"KIZ",95.9731543624161,50,"Temporarily_Excluded_High_Missingness"
"KLHL3",95.9731543624161,50,"Temporarily_Excluded_High_Missingness"
"LGR4",95.9731543624161,50,"Temporarily_Excluded_High_Missingness"
"LIPC",95.9731543624161,50,"Temporarily_Excluded_High_Missingness"
"LRRC75A",95.9731543624161,50,"Temporarily_Excluded_High_Missingness"
"MANEAL",95.9731543624161,50,"Temporarily_Excluded_High_Missingness"
"MAP7D2",95.9731543624161,50,"Temporarily_Excluded_High_Missingness"
"MCF2",95.9731543624161,50,"Temporarily_Excluded_High_Missingness"
"MEFV",95.9731543624161,50,"Temporarily_Excluded_High_Missingness"
"MSMP",95.9731543624161,50,"Temporarily_Excluded_High_Missingness"
"MUC20",95.9731543624161,50,"Temporarily_Excluded_High_Missingness"
"NAIF1",95.9731543624161,50,"Temporarily_Excluded_High_Missingness"
"NDFIP1",95.9731543624161,50,"Temporarily_Excluded_High_Missingness"
"NEURL1",95.9731543624161,50,"Temporarily_Excluded_High_Missingness"
"NUDT7",95.9731543624161,50,"Temporarily_Excluded_High_Missingness"
"ODF3B",95.9731543624161,50,"Temporarily_Excluded_High_Missingness"
"OTUB2",95.9731543624161,50,"Temporarily_Excluded_High_Missingness"
"OTX1",95.9731543624161,50,"Temporarily_Excluded_High_Missingness"
"PAPPA2",95.9731543624161,50,"Temporarily_Excluded_High_Missingness"
"PARP15",95.9731543624161,50,"Temporarily_Excluded_High_Missingness"
"PAX6",95.9731543624161,50,"Temporarily_Excluded_High_Missingness"
"PDE4B",95.9731543624161,50,"Temporarily_Excluded_High_Missingness"
"PELI1",95.9731543624161,50,"Temporarily_Excluded_High_Missingness"
"PIGM",95.9731543624161,50,"Temporarily_Excluded_High_Missingness"
"PIK3R5",95.9731543624161,50,"Temporarily_Excluded_High_Missingness"
"PSRC1",95.9731543624161,50,"Temporarily_Excluded_High_Missingness"
"RAD51B",95.9731543624161,50,"Temporarily_Excluded_High_Missingness"
"RHCG",95.9731543624161,50,"Temporarily_Excluded_High_Missingness"
"RMI2",95.9731543624161,50,"Temporarily_Excluded_High_Missingness"
"RNF26",95.9731543624161,50,"Temporarily_Excluded_High_Missingness"
"RSAD1",95.9731543624161,50,"Temporarily_Excluded_High_Missingness"
"SEC61A2",95.9731543624161,50,"Temporarily_Excluded_High_Missingness"
"SFTPB",95.9731543624161,50,"Temporarily_Excluded_High_Missingness"
"SIGLEC14",95.9731543624161,50,"Temporarily_Excluded_High_Missingness"
"SLC25A23",95.9731543624161,50,"Temporarily_Excluded_High_Missingness"
"SLC26A11",95.9731543624161,50,"Temporarily_Excluded_High_Missingness"
"SLC26A9",95.9731543624161,50,"Temporarily_Excluded_High_Missingness"
"SLC45A4",95.9731543624161,50,"Temporarily_Excluded_High_Missingness"
"SLC8A2",95.9731543624161,50,"Temporarily_Excluded_High_Missingness"
"SLITRK5",95.9731543624161,50,"Temporarily_Excluded_High_Missingness"
"SPRR2A",95.9731543624161,50,"Temporarily_Excluded_High_Missingness"
"STOX2",95.9731543624161,50,"Temporarily_Excluded_High_Missingness"
"SULT1C4",95.9731543624161,50,"Temporarily_Excluded_High_Missingness"
"SWI5",95.9731543624161,50,"Temporarily_Excluded_High_Missingness"
"TAC3",95.9731543624161,50,"Temporarily_Excluded_High_Missingness"
"TAF13",95.9731543624161,50,"Temporarily_Excluded_High_Missingness"
"TCTN2",95.9731543624161,50,"Temporarily_Excluded_High_Missingness"
"TEK",95.9731543624161,50,"Temporarily_Excluded_High_Missingness"
"TIFAB",95.9731543624161,50,"Temporarily_Excluded_High_Missingness"
"TMEM26",95.9731543624161,50,"Temporarily_Excluded_High_Missingness"
"TMEM44",95.9731543624161,50,"Temporarily_Excluded_High_Missingness"
"TMEM64",95.9731543624161,50,"Temporarily_Excluded_High_Missingness"
"TRMT10B",95.9731543624161,50,"Temporarily_Excluded_High_Missingness"
"TSPAN2",95.9731543624161,50,"Temporarily_Excluded_High_Missingness"
"UBE2D2",95.9731543624161,50,"Temporarily_Excluded_High_Missingness"
"UBXN10",95.9731543624161,50,"Temporarily_Excluded_High_Missingness"
"XBP1",95.9731543624161,50,"Temporarily_Excluded_High_Missingness"
"ZBTB34",95.9731543624161,50,"Temporarily_Excluded_High_Missingness"
"ZMAT5",95.9731543624161,50,"Temporarily_Excluded_High_Missingness"
"ZNF441",95.9731543624161,50,"Temporarily_Excluded_High_Missingness"
"ZNF551",95.9731543624161,50,"Temporarily_Excluded_High_Missingness"
"ZNF7",95.9731543624161,50,"Temporarily_Excluded_High_Missingness"
"ZNF821",95.9731543624161,50,"Temporarily_Excluded_High_Missingness"
"ZSCAN25",95.9731543624161,50,"Temporarily_Excluded_High_Missingness"
"BMP4",95.3020134228188,50,"Temporarily_Excluded_High_Missingness"
"BTBD3",95.3020134228188,50,"Temporarily_Excluded_High_Missingness"
"C12orf49",95.3020134228188,50,"Temporarily_Excluded_High_Missingness"
"CD28",95.3020134228188,50,"Temporarily_Excluded_High_Missingness"
"CDX1",95.3020134228188,50,"Temporarily_Excluded_High_Missingness"
"CEBPA",95.3020134228188,50,"Temporarily_Excluded_High_Missingness"
"DACH1",95.3020134228188,50,"Temporarily_Excluded_High_Missingness"
"DONSON",95.3020134228188,50,"Temporarily_Excluded_High_Missingness"
"EBF2",95.3020134228188,50,"Temporarily_Excluded_High_Missingness"
"FAM83D",95.3020134228188,50,"Temporarily_Excluded_High_Missingness"
"FANCB",95.3020134228188,50,"Temporarily_Excluded_High_Missingness"
"GPANK1",95.3020134228188,50,"Temporarily_Excluded_High_Missingness"
"GPHA2",95.3020134228188,50,"Temporarily_Excluded_High_Missingness"
"GPRC5B",95.3020134228188,50,"Temporarily_Excluded_High_Missingness"
"KRTDAP",95.3020134228188,50,"Temporarily_Excluded_High_Missingness"
"LEFTY1",95.3020134228188,50,"Temporarily_Excluded_High_Missingness"
"MAGOHB",95.3020134228188,50,"Temporarily_Excluded_High_Missingness"
"MS4A10",95.3020134228188,50,"Temporarily_Excluded_High_Missingness"
"MS4A18",95.3020134228188,50,"Temporarily_Excluded_High_Missingness"
"NAT2",95.3020134228188,50,"Temporarily_Excluded_High_Missingness"
"NKX2.5",95.3020134228188,50,"Temporarily_Excluded_High_Missingness"
"NOS2",95.3020134228188,50,"Temporarily_Excluded_High_Missingness"
"ORMDL3",95.3020134228188,50,"Temporarily_Excluded_High_Missingness"
"PLPP7",95.3020134228188,50,"Temporarily_Excluded_High_Missingness"
"PPARD",95.3020134228188,50,"Temporarily_Excluded_High_Missingness"
"PRKX",95.3020134228188,50,"Temporarily_Excluded_High_Missingness"
"RFWD3",95.3020134228188,50,"Temporarily_Excluded_High_Missingness"
"SCN9A",95.3020134228188,50,"Temporarily_Excluded_High_Missingness"
"SMIM26",95.3020134228188,50,"Temporarily_Excluded_High_Missingness"
"SPRED2",95.3020134228188,50,"Temporarily_Excluded_High_Missingness"
"TBX15",95.3020134228188,50,"Temporarily_Excluded_High_Missingness"
"TGM1",95.3020134228188,50,"Temporarily_Excluded_High_Missingness"
"TM6SF2",95.3020134228188,50,"Temporarily_Excluded_High_Missingness"
"TPSAB1",95.3020134228188,50,"Temporarily_Excluded_High_Missingness"
"VSTM2A",95.3020134228188,50,"Temporarily_Excluded_High_Missingness"
"ZDHHC24",95.3020134228188,50,"Temporarily_Excluded_High_Missingness"
"ZNF275",95.3020134228188,50,"Temporarily_Excluded_High_Missingness"
"A4GNT",94.6308724832215,50,"Temporarily_Excluded_High_Missingness"
"ANTKMT",94.6308724832215,50,"Temporarily_Excluded_High_Missingness"
"BCL2",94.6308724832215,50,"Temporarily_Excluded_High_Missingness"
"CLEC4A",94.6308724832215,50,"Temporarily_Excluded_High_Missingness"
"COPS9",94.6308724832215,50,"Temporarily_Excluded_High_Missingness"
"DBF4B",94.6308724832215,50,"Temporarily_Excluded_High_Missingness"
"DMKN",94.6308724832215,50,"Temporarily_Excluded_High_Missingness"
"EXOC3L4",94.6308724832215,50,"Temporarily_Excluded_High_Missingness"
"FAM199X",94.6308724832215,50,"Temporarily_Excluded_High_Missingness"
"FBXL14",94.6308724832215,50,"Temporarily_Excluded_High_Missingness"
"FKBP1C",94.6308724832215,50,"Temporarily_Excluded_High_Missingness"
"FOXRED2",94.6308724832215,50,"Temporarily_Excluded_High_Missingness"
"FRMD3",94.6308724832215,50,"Temporarily_Excluded_High_Missingness"
"GCSAM",94.6308724832215,50,"Temporarily_Excluded_High_Missingness"
"HOXA4",94.6308724832215,50,"Temporarily_Excluded_High_Missingness"
"HSD17B6",94.6308724832215,50,"Temporarily_Excluded_High_Missingness"
"IGHV4.39",94.6308724832215,50,"Temporarily_Excluded_High_Missingness"
"IL17D",94.6308724832215,50,"Temporarily_Excluded_High_Missingness"
"KDELR1",94.6308724832215,50,"Temporarily_Excluded_High_Missingness"
"KMT5C",94.6308724832215,50,"Temporarily_Excluded_High_Missingness"
"KRT79",94.6308724832215,50,"Temporarily_Excluded_High_Missingness"
"MMS22L",94.6308724832215,50,"Temporarily_Excluded_High_Missingness"
"MT1B",94.6308724832215,50,"Temporarily_Excluded_High_Missingness"
"NFE2L2",94.6308724832215,50,"Temporarily_Excluded_High_Missingness"
"PALB2",94.6308724832215,50,"Temporarily_Excluded_High_Missingness"
"PPM1E",94.6308724832215,50,"Temporarily_Excluded_High_Missingness"
"RNASEK",94.6308724832215,50,"Temporarily_Excluded_High_Missingness"
"SMAGP",94.6308724832215,50,"Temporarily_Excluded_High_Missingness"
"TMEM267",94.6308724832215,50,"Temporarily_Excluded_High_Missingness"
"TSPYL2",94.6308724832215,50,"Temporarily_Excluded_High_Missingness"
"ZNF543",94.6308724832215,50,"Temporarily_Excluded_High_Missingness"
"AC007906.2",93.9597315436242,50,"Temporarily_Excluded_High_Missingness"
"ADAMTS8",93.9597315436242,50,"Temporarily_Excluded_High_Missingness"
"ANKRD29",93.9597315436242,50,"Temporarily_Excluded_High_Missingness"
"ASPM",93.9597315436242,50,"Temporarily_Excluded_High_Missingness"
"ATP1B2",93.9597315436242,50,"Temporarily_Excluded_High_Missingness"
"C1QTNF2",93.9597315436242,50,"Temporarily_Excluded_High_Missingness"
"CALHM2",93.9597315436242,50,"Temporarily_Excluded_High_Missingness"
"CASTOR1",93.9597315436242,50,"Temporarily_Excluded_High_Missingness"
"CCDC125",93.9597315436242,50,"Temporarily_Excluded_High_Missingness"
"CCDC84",93.9597315436242,50,"Temporarily_Excluded_High_Missingness"
"CCNC",93.9597315436242,50,"Temporarily_Excluded_High_Missingness"
"CDCA7L",93.9597315436242,50,"Temporarily_Excluded_High_Missingness"
"CLEC10A",93.9597315436242,50,"Temporarily_Excluded_High_Missingness"
"CLEC4E",93.9597315436242,50,"Temporarily_Excluded_High_Missingness"
"COMMD7",93.9597315436242,50,"Temporarily_Excluded_High_Missingness"
"CRB2",93.9597315436242,50,"Temporarily_Excluded_High_Missingness"
"CREB5",93.9597315436242,50,"Temporarily_Excluded_High_Missingness"
"CYSRT1",93.9597315436242,50,"Temporarily_Excluded_High_Missingness"
"DOK7",93.9597315436242,50,"Temporarily_Excluded_High_Missingness"
"DTHD1",93.9597315436242,50,"Temporarily_Excluded_High_Missingness"
"FCMR",93.9597315436242,50,"Temporarily_Excluded_High_Missingness"
"GMCL1",93.9597315436242,50,"Temporarily_Excluded_High_Missingness"
"HAPLN4",93.9597315436242,50,"Temporarily_Excluded_High_Missingness"
"IL2RG",93.9597315436242,50,"Temporarily_Excluded_High_Missingness"
"KDR",93.9597315436242,50,"Temporarily_Excluded_High_Missingness"
"LIPT1",93.9597315436242,50,"Temporarily_Excluded_High_Missingness"
"LPAR2",93.9597315436242,50,"Temporarily_Excluded_High_Missingness"
"MDM2",93.9597315436242,50,"Temporarily_Excluded_High_Missingness"
"MKS1",93.9597315436242,50,"Temporarily_Excluded_High_Missingness"
"MROH8",93.9597315436242,50,"Temporarily_Excluded_High_Missingness"
"MTBP",93.9597315436242,50,"Temporarily_Excluded_High_Missingness"
"MYBPC1",93.9597315436242,50,"Temporarily_Excluded_High_Missingness"
"P2RY8",93.9597315436242,50,"Temporarily_Excluded_High_Missingness"
"PLEKHG6",93.9597315436242,50,"Temporarily_Excluded_High_Missingness"
"PRDM5",93.9597315436242,50,"Temporarily_Excluded_High_Missingness"
"PSMA8",93.9597315436242,50,"Temporarily_Excluded_High_Missingness"
"RGS17",93.9597315436242,50,"Temporarily_Excluded_High_Missingness"
"RPGR",93.9597315436242,50,"Temporarily_Excluded_High_Missingness"
"SEMA6A",93.9597315436242,50,"Temporarily_Excluded_High_Missingness"
"SERPINB13",93.9597315436242,50,"Temporarily_Excluded_High_Missingness"
"SGMS1",93.9597315436242,50,"Temporarily_Excluded_High_Missingness"
"SLAMF1",93.9597315436242,50,"Temporarily_Excluded_High_Missingness"
"SLAMF6",93.9597315436242,50,"Temporarily_Excluded_High_Missingness"
"SNCB",93.9597315436242,50,"Temporarily_Excluded_High_Missingness"
"SOX1",93.9597315436242,50,"Temporarily_Excluded_High_Missingness"
"ST3GAL2",93.9597315436242,50,"Temporarily_Excluded_High_Missingness"
"TCIM",93.9597315436242,50,"Temporarily_Excluded_High_Missingness"
"THRB",93.9597315436242,50,"Temporarily_Excluded_High_Missingness"
"TICAM2",93.9597315436242,50,"Temporarily_Excluded_High_Missingness"
"TM4SF20",93.9597315436242,50,"Temporarily_Excluded_High_Missingness"
"TMEM143",93.9597315436242,50,"Temporarily_Excluded_High_Missingness"
"TMEM40",93.9597315436242,50,"Temporarily_Excluded_High_Missingness"
"TMEM72",93.9597315436242,50,"Temporarily_Excluded_High_Missingness"
"TOX2",93.9597315436242,50,"Temporarily_Excluded_High_Missingness"
"TRIM72",93.9597315436242,50,"Temporarily_Excluded_High_Missingness"
"VANGL2",93.9597315436242,50,"Temporarily_Excluded_High_Missingness"
